sample,noisy_mse,noisy_mae,noisy_psnr,noisy_ssim,stage_one_mse,stage_one_mae,stage_one_psnr,stage_one_ssim,stage_two_mse,stage_two_mae,stage_two_psnr,stage_two_ssim,stage_one_mse_vs_noisy_percent,stage_two_mse_vs_noisy_percent,stage_two_mse_vs_stage_one_percent,stage_one_mae_vs_noisy_percent,stage_two_mae_vs_noisy_percent,stage_two_mae_vs_stage_one_percent,stage_one_psnr_vs_noisy,stage_two_psnr_vs_noisy,stage_two_psnr_vs_stage_one,stage_one_ssim_vs_noisy,stage_two_ssim_vs_noisy,stage_two_ssim_vs_stage_one
tile_0021,0.03607874853697061,0.15390540406496012,14.427485352352543,0.07871533930301666,0.0011547056140669004,0.02426174297684251,29.3752872268289,0.8008155226707458,0.0011581907399769822,0.02453619442561224,29.362199116811595,0.8006039261817932,96.7994854009871,96.78982562604644,-0.30181943065185657,84.23593822176501,84.05761345764307,-1.131210766809671,14.947801874476356,14.934713764459053,-0.013088110017303478,0.7221001833677292,0.7218885868787766,-0.00021159648895263672
tile_0022,0.035730401225114505,0.1533479388965553,14.469621069748655,0.08604457229375839,0.001179673959592276,0.02414427565122897,29.282380071986562,0.8059822916984558,0.0011904795127733747,0.024514157859310142,29.24278074065092,0.8058440685272217,96.69840270709557,96.66816080437238,-0.9159779355334132,84.25523301782614,84.0140284664362,-1.5319664728162796,14.812759002237907,14.773159670902267,-0.03959933133564064,0.7199377194046974,0.7197994962334633,-0.00013822317123413086
tile_0023,0.0361543632886067,0.15439978762135928,14.418392823856577,0.059436578303575516,0.0008089380583267405,0.020850494644690798,30.920847317335788,0.8101204037666321,0.000828450835336573,0.021353951563753526,30.817332598162643,0.8100541234016418,97.76254375752855,97.70857301863302,-2.41214723537597,86.49577504871749,86.16970146609225,-2.414604198327373,16.502454493479213,16.398939774306065,-0.1035147191731447,0.7506838254630566,0.7506175450980663,-6.628036499023438e-05
tile_0024,0.03628376381754724,0.15461845312898484,14.402876686789872,0.04119781032204628,0.0007065775474390936,0.020281368722976367,31.50840167040193,0.8000891804695129,0.0007299977615500428,0.02075879812830787,31.366784715890713,0.8000020980834961,98.05263436562944,97.98808699885483,-3.3145992532359587,86.88295716808305,86.57417810861774,-2.3540295127647473,17.105524983612057,16.963908029100843,-0.14161695451121759,0.7588913701474667,0.7588042877614498,-8.70823860168457e-05
tile_0025,0.03574241398758321,0.152444456592668,14.468161192595034,0.0731707215309143,0.0011524927551460112,0.02313984799433418,29.38361796012066,0.8027893900871277,0.0011609935831888686,0.02346603558694464,29.351701806002435,0.8025739192962646,96.77555982775426,96.75177624098866,-0.7376035992330756,84.82080063024927,84.60682919442199,-1.4096358484737097,14.915456767525626,14.883540613407401,-0.03191615411822468,0.7296186685562134,0.7294031977653503,-0.0002154707908630371
tile_0026,0.034617195838613495,0.1502729976223295,14.607081150030957,0.11728409677743912,0.0022232601301187013,0.02888266114935334,26.53009720177426,0.7981073260307312,0.002220281187587746,0.029353182209841105,26.535920208265786,0.7982053756713867,93.57758456091126,93.58618994461952,0.13398983279551793,80.77987289377026,80.46676204356262,-1.6290779372949167,11.923016051743303,11.928839058234828,0.005823006491525007,0.6808232292532921,0.6809212788939476,9.804964065551758e-05
tile_0027,0.0346627250835749,0.15186765358607637,14.601372972990536,0.04846586287021637,0.0008386151216914164,0.01986153811950449,30.764373107758452,0.8375802636146545,0.0008696148416171188,0.020655440250100316,30.606730568042213,0.8375574946403503,97.58064283846859,97.4912104010276,-3.696537198515873,86.92181142559942,86.39905222582956,-3.9971835303943286,16.163000134767916,16.005357595051677,-0.15764253971623887,0.7891144007444382,0.789091631770134,-2.276897430419922e-05
tile_0028,0.03416849774170049,0.1473673480813981,14.663741150505764,0.12391776591539383,0.0017737304966240631,0.028418258492247144,27.511123668720963,0.796783447265625,0.0017533652064250192,0.028305509078556668,27.56127615785301,0.7964410781860352,94.8088718736401,94.86847440680675,1.1481614731102099,80.7160413332875,80.79255042105925,0.3967499054216709,12.847382518215198,12.897535007347244,0.05015248913204573,0.6728656813502312,0.6725233122706413,-0.00034236907958984375
tile_0029,0.030639996893370585,0.13578635964233968,15.137112830731178,0.26408812403678894,0.00439806875100034,0.044971689928559044,23.567379859923502,0.7426597476005554,0.0043138242957500355,0.044253699965996894,23.65137547907606,0.7424378991127014,85.64598826068442,85.9209375550446,1.9154874564237516,66.88055409467184,67.40931851876665,1.5965376522490748,8.430267029192324,8.51426264834488,0.0839956191525566,0.4785716235637665,0.4783497750759125,-0.0002218484878540039
tile_0030,0.03484080672005719,0.15055720486570648,14.579117976938488,0.10849057883024216,0.0017418658437159465,0.026410839119459222,27.58985296847014,0.8074479699134827,0.0017469784589922291,0.02678774380467293,27.577124500247884,0.8074257969856262,95.00050082734397,94.98582661122332,-0.29351372235279855,82.4579374045785,82.20759755166353,-1.4270833407031365,13.010734991531653,12.998006523309396,-0.012728468222256595,0.6989573910832405,0.6989352181553841,-2.2172927856445312e-05
